Source,Year,Region,Species,avg_wt
R&I,1998,PWS,Pink,1.6545812636364081
R&I,1999,PWS,Pink,1.3422713577465537
R&I,2000,PWS,Pink,1.536931343317205
R&I,2001,PWS,Pink,1.5350349347480579
R&I,2002,PWS,Pink,1.5741353683045551
R&I,2003,PWS,Pink,1.6121873430748528
R&I,2004,PWS,Pink,1.675541552810167
R&I,2005,PWS,Pink,1.562248583567586
R&I,2006,PWS,Pink,1.6393312797016308
R&I,2007,PWS,Pink,1.5254332836218258
R&I,2008,PWS,Pink,1.5393953243317429
R&I,2009,PWS,Pink,1.365030224884464
R&I,2010,PWS,Pink,1.628787330587933
R&I,2011,PWS,Pink,1.355345878084877
R&I,2012,PWS,Pink,1.7680554632397438
R&I,2013,PWS,Pink,1.2608706472945719
R&I,2014,PWS,Pink,1.5336952402589248
R&I,2015,PWS,Pink,1.503142319398715
R&I,1952,SEAK,Pink,1.7600000000000005
R&I,1953,SEAK,Pink,1.7600000000000002
R&I,1954,SEAK,Pink,1.7600000000000005
R&I,1955,SEAK,Pink,1.7600000000000005
R&I,1956,SEAK,Pink,1.7600000000000005
R&I,1957,SEAK,Pink,1.7600000000000002
R&I,1958,SEAK,Pink,1.7600000000000002
R&I,1959,SEAK,Pink,1.7600000000000002
R&I,1960,SEAK,Pink,1.54
R&I,1961,SEAK,Pink,2.3600000000000003
R&I,1962,SEAK,Pink,1.7699999999999998
R&I,1963,SEAK,Pink,1.41
R&I,1964,SEAK,Pink,1.72
R&I,1965,SEAK,Pink,1.77
R&I,1966,SEAK,Pink,2
R&I,1967,SEAK,Pink,2.04
R&I,1968,SEAK,Pink,1.5
R&I,1969,SEAK,Pink,1.9500000000000002
R&I,1970,SEAK,Pink,1.77
R&I,1971,SEAK,Pink,1.6799999999999997
R&I,1972,SEAK,Pink,1.4199999999999997
R&I,1973,SEAK,Pink,1.63
R&I,1974,SEAK,Pink,1.8700000000000003
R&I,1975,SEAK,Pink,1.7300000000000002
R&I,1976,SEAK,Pink,1.99
R&I,1977,SEAK,Pink,2.2208963925242213
R&I,1978,SEAK,Pink,1.446990995740552
R&I,1979,SEAK,Pink,1.7872141798336145
R&I,1980,SEAK,Pink,1.7633921368203749
R&I,1981,SEAK,Pink,1.9316693624394368
R&I,1982,SEAK,Pink,1.4829909102628556
R&I,1983,SEAK,Pink,1.4169171288612494
R&I,1984,SEAK,Pink,1.6240861108684983
R&I,1985,SEAK,Pink,1.444803637830448
R&I,1986,SEAK,Pink,1.509041951732205
R&I,1987,SEAK,Pink,1.6775620689500876
R&I,1988,SEAK,Pink,1.482638512765319
R&I,1989,SEAK,Pink,1.5592558942323151
R&I,1990,SEAK,Pink,1.4501387700118258
R&I,1991,SEAK,Pink,1.2284817127652259
R&I,1992,SEAK,Pink,1.4975020091068063
R&I,1993,SEAK,Pink,1.349948838861174
R&I,1994,SEAK,Pink,1.3698830466279308
R&I,1995,SEAK,Pink,1.4443732126999766
R&I,1996,SEAK,Pink,1.3608495287866527
R&I,1997,SEAK,Pink,1.744588445632034
R&I,1998,SEAK,Pink,1.5719435542186717
R&I,1999,SEAK,Pink,1.330178812933115
R&I,2000,SEAK,Pink,1.5467858056046282
R&I,2001,SEAK,Pink,1.4921724897499828
R&I,2002,SEAK,Pink,1.5066676325985875
R&I,2003,SEAK,Pink,1.5935111663513828
R&I,2004,SEAK,Pink,1.6453591259279219
R&I,2005,SEAK,Pink,1.5876884826363964
R&I,2006,SEAK,Pink,1.821784099256497
R&I,2007,SEAK,Pink,1.6315082727784156
R&I,2008,SEAK,Pink,1.669584010017058
R&I,2009,SEAK,Pink,1.43345672327784
R&I,2010,SEAK,Pink,1.9256192077523981
R&I,2011,SEAK,Pink,1.6832106612674362
R&I,2012,SEAK,Pink,1.6187557010758449
R&I,2013,SEAK,Pink,1.458821352020411
R&I,2014,SEAK,Pink,1.6031921585104807
R&I,2015,SEAK,Pink,1.6520607072452567
R&I,1952,WAK,Chum,3.0818507323770294
R&I,1953,WAK,Chum,3.0710286858437694
R&I,1954,WAK,Chum,3.0814524405719688
R&I,1955,WAK,Chum,3.071258661034944
R&I,1956,WAK,Chum,3.086569913574571
R&I,1957,WAK,Chum,3.0821953142272727
R&I,1958,WAK,Chum,3.073946884000066
R&I,1959,WAK,Chum,3.076979513904253
R&I,1960,WAK,Chum,2.876323696392698
R&I,1961,WAK,Chum,3.122255950519126
R&I,1962,WAK,Chum,3.106700892057973
R&I,1963,WAK,Chum,2.833873368261305
R&I,1964,WAK,Chum,3.234842864722208
R&I,1965,WAK,Chum,3.0875735273483755
R&I,1966,WAK,Chum,3.4164109986954823
R&I,1967,WAK,Chum,3.1715214175406885
R&I,1968,WAK,Chum,3.0602453467811346
R&I,1969,WAK,Chum,2.912746769147292
R&I,1970,WAK,Chum,2.9147069100198086
R&I,1971,WAK,Chum,2.9880886953550956
R&I,1972,WAK,Chum,3.224632753150167
R&I,1973,WAK,Chum,3.323129508128417
R&I,1974,WAK,Chum,3.123273747414283
R&I,1975,WAK,Chum,3.1598121832113026
R&I,1976,WAK,Chum,3.120101358980731
R&I,1977,WAK,Chum,3.4027401757669096
R&I,1978,WAK,Chum,3.2503018673316397
R&I,1979,WAK,Chum,3.227413562258995
R&I,1980,WAK,Chum,3.0287515912890592
R&I,1981,WAK,Chum,3.3712202729909824
R&I,1982,WAK,Chum,3.34558754113728
R&I,1983,WAK,Chum,3.144756390206873
R&I,1984,WAK,Chum,3.05328969774558
R&I,1985,WAK,Chum,3.2266796987951323
R&I,1986,WAK,Chum,3.288428328284466
R&I,1987,WAK,Chum,3.3056512384170667
R&I,1988,WAK,Chum,3.648246528146998
R&I,1989,WAK,Chum,3.1077634858875163
R&I,1990,WAK,Chum,3.1148758388503515
R&I,1991,WAK,Chum,3.001987906468089
R&I,1992,WAK,Chum,3.131196819433188
R&I,1993,WAK,Chum,2.7976633054821107
R&I,1994,WAK,Chum,3.1271280235627965
R&I,1995,WAK,Chum,3.284207795562981
R&I,1996,WAK,Chum,3.4350547392682222
R&I,1997,WAK,Chum,3.3546445093221227
R&I,1998,WAK,Chum,3.300577407855499
R&I,1999,WAK,Chum,3.3482089504652337
R&I,2000,WAK,Chum,3.6026461390814455
R&I,2001,WAK,Chum,3.595058029463263
R&I,2002,WAK,Chum,3.4010488902649634
R&I,2003,WAK,Chum,3.1899646514789954
R&I,2004,WAK,Chum,3.265611284098249
R&I,2005,WAK,Chum,3.2135400565578376
R&I,2006,WAK,Chum,3.576696238834325
R&I,2007,WAK,Chum,3.385539549213712
R&I,2008,WAK,Chum,3.5509447058355006
R&I,2009,WAK,Chum,3.2811161697401108
R&I,2010,WAK,Chum,3.3591144050058666
R&I,2011,WAK,Chum,3.063362388508597
R&I,2012,WAK,Chum,3.496653288086966
R&I,2013,WAK,Chum,3.4050320388756434
R&I,2014,WAK,Chum,3.3357311596279486
R&I,2015,WAK,Chum,3.252206701758952
R&I,1952,SPen,Chum,3.506763531442994
R&I,1953,SPen,Chum,3.506763531442995
R&I,1954,SPen,Chum,3.5067635314429944
R&I,1955,SPen,Chum,3.506763531442995
R&I,1956,SPen,Chum,3.506763531442995
R&I,1957,SPen,Chum,3.5067635314429944
R&I,1958,SPen,Chum,3.506763531442995
R&I,1959,SPen,Chum,3.506763531442995
R&I,1960,SPen,Chum,3.10582071880091
R&I,1961,SPen,Chum,3.500028253788041
R&I,1962,SPen,Chum,3.44258978460144
R&I,1963,SPen,Chum,3.675171081630743
R&I,1964,SPen,Chum,3.790004672632125
R&I,1965,SPen,Chum,3.452367504151961
R&I,1966,SPen,Chum,3.4322778139014947
R&I,1967,SPen,Chum,3.6439716121383148
R&I,1968,SPen,Chum,3.600820347018206
R&I,1969,SPen,Chum,3.4245835257667157
R&I,1970,SPen,Chum,3.102827852407392
R&I,1971,SPen,Chum,3.1365883847603726
R&I,1972,SPen,Chum,3.3855367978819295
R&I,1973,SPen,Chum,3.768684285690283
R&I,1974,SPen,Chum,3.8692321238973006
R&I,1975,SPen,Chum,3.1246210391842255
R&I,1976,SPen,Chum,3.724255361499621
R&I,1977,SPen,Chum,3.8894534856774876
R&I,1978,SPen,Chum,3.7494292357035532
R&I,1979,SPen,Chum,3.5233910696630053
R&I,1980,SPen,Chum,3.3050332854923963
R&I,1981,SPen,Chum,3.617925732051876
R&I,1982,SPen,Chum,3.735469324977504
R&I,1983,SPen,Chum,3.6342632670032224
R&I,1984,SPen,Chum,3.5821985315021676
R&I,1985,SPen,Chum,3.405273204561087
R&I,1986,SPen,Chum,3.419746761343797
R&I,1987,SPen,Chum,3.280216126683764
R&I,1988,SPen,Chum,3.5980889918604615
R&I,1989,SPen,Chum,3.351780606565282
R&I,1990,SPen,Chum,3.429014866029581
R&I,1991,SPen,Chum,3.0597839344028257
R&I,1992,SPen,Chum,3.064994776820159
R&I,1993,SPen,Chum,2.862573906051806
R&I,1994,SPen,Chum,3.3445498842493926
R&I,1995,SPen,Chum,3.1966258609149985
R&I,1996,SPen,Chum,3.686051144233246
R&I,1997,SPen,Chum,3.758798713283763
R&I,1998,SPen,Chum,3.494020425338544
R&I,1999,SPen,Chum,3.538602449772357
R&I,2000,SPen,Chum,3.605439391353693
R&I,2001,SPen,Chum,3.41277653005708
R&I,2002,SPen,Chum,3.6905715422841467
R&I,2003,SPen,Chum,2.908439687702654
R&I,2004,SPen,Chum,3.303502774654529
R&I,2005,SPen,Chum,3.338957822199075
R&I,2006,SPen,Chum,3.3711415164381
R&I,2007,SPen,Chum,3.0083700372067144
R&I,2008,SPen,Chum,3.387850557011506
R&I,2009,SPen,Chum,3.24614885264802
R&I,2010,SPen,Chum,3.0384587401262855
R&I,2011,SPen,Chum,3.221708890573871
R&I,2012,SPen,Chum,3.2026661046659943
R&I,2013,SPen,Chum,3.2664844731627753
R&I,2014,SPen,Chum,3.2855935276291075
R&I,2015,SPen,Chum,2.8028837067307775
R&I,1952,Kod,Chum,3.5067635314429944
R&I,1953,Kod,Chum,3.5067635314429952
R&I,1954,Kod,Chum,3.5067635314429944
R&I,1955,Kod,Chum,3.5067635314429952
R&I,1956,Kod,Chum,3.506763531442995
R&I,1957,Kod,Chum,3.5067635314429944
R&I,1958,Kod,Chum,3.506763531442995
R&I,1959,Kod,Chum,3.506763531442995
R&I,1960,Kod,Chum,3.10582071880091
R&I,1961,Kod,Chum,3.500028253788041
R&I,1962,Kod,Chum,3.44258978460144
R&I,1963,Kod,Chum,3.675171081630742
R&I,1964,Kod,Chum,3.7900046726321253
R&I,1965,Kod,Chum,3.4523675041519604
R&I,1966,Kod,Chum,3.4322778139014947
R&I,1967,Kod,Chum,3.643971612138315
R&I,1968,Kod,Chum,3.600820347018206
R&I,1969,Kod,Chum,3.4245835257667157
R&I,1970,Kod,Chum,3.1028278524073913
R&I,1971,Kod,Chum,3.136588384760372
R&I,1972,Kod,Chum,3.38553679788193
R&I,1973,Kod,Chum,3.768684285690283
