Year,Species,Number,Whole_Wt_ metric_tons,Region,Management Area,RI_Area
2007,Chum,1939714,5332.85,Central,T,WAK
1998,Pink,3471269,5375.15,Southeastern,A,SEAK
2014,Pink,3189879,5410.49,Southeastern,D,SEAK
2009,Pink,3814354,5436.23,Southeastern,D,SEAK
2014,Coho,1595357,5442.87,Southeastern,D,SEAK
2009,Sockeye,1919185,5448.42,Central,E,PWS
2004,Chum,1471947,5449,Southeastern,C,SEAK
2000,Pink,3600089,5458.94,Southeastern,D,SEAK
2012,Sockeye,2022630,5465.15,Westward,M,SPen
2001,Sockeye,2047600,5471.07,Central,H,CI
1996,Pink,3486930,5472.57,Westward,K,Kod
1995,Chum,1728321,5490.81,Westward,M,SPen
1999,Sockeye,2036707,5526.04,Central,E,PWS
2009,Pink,3913548,5529.65,Southeastern,C,SEAK
2008,Sockeye,2249150,5560.62,Westward,M,SPen
2012,Sockeye,1800121,5563.87,Westward,L,SPen
2006,Sockeye,2428080,5564,Central,H,CI
1997,Sockeye,2154956,5600.94,Westward,M,WAK
2000,Sockeye,2006487,5610.2,Westward,M,SPen
1992,Pink,3310644,5626.35,Westward,K,Kod
1995,Pink,3827093,5645.86,Southeastern,C,SEAK
2012,Sockeye,2239301,5664.9,Westward,K,Kod
2004,Sockeye,2206683,5687.08,Westward,M,SPen
2006,Pink,2858795,5692.53,Southeastern,B,SEAK
1998,Sockeye,2183776,5703.87,Westward,M,SPen
2010,Sockeye,2045144,5711.55,Central,E,PWS
1986,Chum,1749651,5726.41,Westward,M,SPen
1988,Chum,1426976,5757.39,Westward,K,Kod
1995,Chum,1492531,5800.8,Southeastern,A,SEAK
2014,Chum,1579253.8,5857.06,Southeastern,D,SEAK
1991,Sockeye,2392882,5863.23,Westward,M,WAK
2010,Sockeye,2233550,5875.21,Westward,M,WAK
1991,Sockeye,1899294,5882.1,Westward,L,SPen
1997,Sockeye,2281566,5901.18,Westward,M,SPen
1997,Sockeye,2506463,5971.06,Westward,K,Kod
1998,Chum,1469067,5995.92,Southeastern,A,SEAK
2001,Chum,1592578.82,6015.26,Southeastern,A,SEAK
2013,Sockeye,2242691,6037.84,Westward,M,SPen
1991,Sockeye,2319957,6040.25,Westward,M,SPen
2006,Sockeye,2379945,6052.63,Westward,M,WAK
2007,Sockeye,2450221,6093.88,Westward,M,SPen
2011,Sockeye,2269302,6114.39,Westward,K,Kod
1990,Sockeye,2427807,6117.81,Westward,M,WAK
1994,Coho,1847811,6119.93,Southeastern,D,SEAK
2003,Pink,3809197,6173.65,Southeastern,D,SEAK
2006,Chum,1342632,6174.57,Southeastern,C,SEAK
1991,Sockeye,2507889,6189.78,Central,H,CI
1986,Pink,4031487,6192.19,Westward,M,SPen
2000,Sockeye,1775225,6198.89,Westward,L,SPen
2006,Chum,2243659,6262.71,Central,T,WAK
1990,Sockeye,2093650,6264.01,Westward,L,SPen
2001,Sockeye,2263274,6302.34,Central,E,PWS
2001,Pink,4158353,6304.82,Southeastern,D,SEAK
1998,Chum,1599217,6319.12,Southeastern,C,SEAK
1994,Chum,1859423,6332.04,Southeastern,A,SEAK
1987,Sockeye,1898838,6351.07,Westward,L,SPen
2009,Sockeye,2340089,6374.64,Central,H,CI
2004,Sockeye,2437623,6391.52,Westward,M,WAK
2006,Sockeye,2524501,6402.93,Central,E,PWS
1990,Sockeye,2386917,6408.72,Westward,M,SPen
1985,Sockeye,2598831,6426.09,Westward,M,WAK
2011,Chum,1914525,6427.71,Central,E,PWS
1986,Chum,1705426,6452.2,Central,E,PWS
2006,Pink,4264143,6464.48,Westward,M,SPen
1988,Chum,1908507,6466.5,Westward,M,SPen
1986,Sockeye,2471437,6488.52,Westward,M,WAK
2005,Sockeye,2338318,6495.46,Westward,M,SPen
1994,Sockeye,2878238,6505.54,Westward,K,Kod
2013,Sockeye,2334623,6519.42,Central,E,PWS
2009,Sockeye,2430163,6547.77,Westward,M,WAK
2002,Sockeye,2263328,6555.68,Central,E,PWS
2006,Pink,3730885,6556.98,Southeastern,D,SEAK
2006,Pink,3804819,6618.06,Southeastern,A,SEAK
1994,Chum,2192079,6666.04,Westward,M,SPen
2001,Sockeye,2659732,6685.56,Westward,K,Kod
2001,Pink,4021482,6726.97,Westward,M,SPen
2014,Pink,3942104.7,6729.38,Southeastern,C,SEAK
1986,Chum,1700256,6729.73,Southeastern,B,SEAK
2013,Sockeye,2577209,6750.12,Westward,K,Kod
1996,Sockeye,1958393,6759.77,Westward,L,SPen
2004,Chum,2001949,6825.37,Central,E,PWS
2015,Sockeye,3103703,6849.97,Westward,K,Kod
2015,Sockeye,2899250,6855.44,Central,H,CI
1987,Chum,1953777,6884.51,Central,E,PWS
1994,Sockeye,2783327,6957.3,Westward,M,WAK
2015,Sockeye,2736624,6973.54,Westward,M,WAK
1989,Sockeye,2661217,6980.86,Westward,M,SPen
2003,Chum,2303342,7001.09,Southeastern,C,SEAK
1988,Sockeye,2701276,7025.39,Westward,K,Kod
2015,Chum,2512460,7045.23,Central,E,PWS
1993,Pink,5256838,7077.75,Southeastern,D,SEAK
2012,Chum,2084881,7098.05,Southeastern,D,SEAK
2007,Chum,2122785,7154.46,Southeastern,D,SEAK
2014,Sockeye,2621776,7178.54,Central,H,CI
1988,Chum,1850523,7186.13,Central,E,PWS
1994,Coho,1924750,7186.28,Southeastern,A,SEAK
1995,Sockeye,3016211,7304.59,Westward,M,SPen
2008,Sockeye,2804722,7319.59,Central,H,CI
1992,Pink,4935142,7347.1,Southeastern,A,SEAK
1999,Sockeye,2991819,7391.84,Westward,M,SPen
2003,Pink,4262920,7400.84,Westward,M,SPen
1992,Chum,1943647,7471.9,Southeastern,B,SEAK
1993,Pink,5761097,7474.56,Central,E,PWS
2005,Chum,2099493,7493.47,Central,E,PWS
2011,Pink,5005771,7502.81,Westward,M,SPen
2003,Sockeye,2730160,7556.89,Central,E,PWS
2000,Sockeye,2906466,7559.59,Westward,K,Kod
1987,Pink,4224856,7589.23,Southeastern,B,SEAK
2005,Chum,1749827,7613.88,Southeastern,B,SEAK
2005,Sockeye,3052301,7615.04,Westward,K,Kod
1997,Chum,1794357,7740.68,Southeastern,A,SEAK
2014,Sockeye,3266317,7752.49,Westward,K,Kod
2013,Sockeye,2405151,7761.06,Westward,L,SPen
2008,Chum,1916061,7918.44,Southeastern,B,SEAK
1998,Sockeye,3623712,7950.34,Westward,K,Kod
2015,Sockeye,3221693,7990.77,Central,E,PWS
1999,Sockeye,3194605,7991.76,Central,H,CI
2013,Sockeye,2859527,8054.72,Central,H,CI
1996,Chum,3071702,8063.21,Southeastern,A,SEAK
1988,Chum,1985075,8096.99,Southeastern,B,SEAK
1995,Sockeye,3272758,8097.09,Westward,M,WAK
2011,Sockeye,2497004,8115.32,Westward,L,SPen
2010,Sockeye,2928105,8126.36,Central,H,CI
1996,Pink,5842445,8157.02,Southeastern,C,SEAK
2002,Pink,5061116,8164.91,Southeastern,D,SEAK
1985,Pink,4431016,8172.2,Westward,M,SPen
1995,Sockeye,3242594,8177.67,Central,H,CI
2002,Chum,1902819,8184.54,Southeastern,B,SEAK
2015,Sockeye,3209917,8189.4,Westward,M,SPen
1996,Chum,2103559,8257.31,Central,E,PWS
1987,Pink,5075508,8304.01,Westward,K,Kod
1986,Sockeye,3188049,8406.58,Westward,K,Kod
2010,Pink,4536616,8533.6,Southeastern,D,SEAK
2005,Sockeye,3118098,8556.09,Westward,M,WAK
2006,Chum,2181580,8621.94,Central,E,PWS
1990,Pink,5983812,8623.68,Westward,K,Kod
